"Record number","Sample Name","SOP Name","Measurement date and time","Operator Full Name","Result transform type","Particle absorption index","Particle refractive index","Dispersant name","Dispersant refractive index","Residual - weighted","Specific surface area","Uniformity","D [4, 3] - Volume weighted mean","D [3, 2] - Surface weighted mean ","Skewness","Mean","Median","Mode","Span(10,90)","Standard Deviation","Obscuration","Diameter d(0.5) low level","Diameter d(0.5) high level","d (0.1)","d (0.2)","d (0.5)","d (0.8)","d (0.9)","0.02μm-2μm","2μm-63μm","63μm-2000μm","Below 4μm","2μm-8μm","2μm-6.3μm","6.3μm-20μm","20μm-63μm","63μm-125μm","63μm-200μm","200μm-630μm","630μm-2000μm","250μm-500μm","500μm-1000μm","1000μm-2000μm"
"1","3_1_Z3_1","soil-sediments_1","Thursday, 12 September 2024 10:48:33","ms2000","Volume","1","1.520","Water","1.330","0.372","1.52","2.03","33.953","3.949","60.003","33.953","14.178","26.930","5.313","62.628","15.67","0.020","2000.000","1.464","3.107","14.178","45.169","76.792","13.665","73.201","13.134","24.18","23.69","18.895","26.065","28.241","8.099","10.492","2.602","0.04","1.598","0.309","0"
"2","3_1_Z3_1","soil-sediments_1","Thursday, 12 September 2024 10:49:31","ms2000","Volume","1","1.520","Water","1.330","0.376","1.54","2.03","33.127","3.904","59.55","33.127","13.817","26.398","5.3","60.746","15.60","0.020","2000.000","1.447","3.057","13.817","44.191","74.677","13.839","73.461","12.699","24.494","23.999","19.143","26.293","28.025","7.891","10.088","2.611","0","1.677","0.231","0"
"3","3_1_Z3_1","soil-sediments_1","Thursday, 12 September 2024 10:50:29","ms2000","Volume","1","1.520","Water","1.330","0.375","1.54","2.08","33.506","3.891","59.251","33.506","13.711","25.941","5.426","61.658","15.55","0.020","2000.000","1.443","3.041","13.711","44.364","75.844","13.893","73.214","12.893","24.605","24.111","19.238","26.297","27.678","7.886","10.148","2.746","0","1.771","0.23","0"
"4","3_1_Z3_1 - Average","soil-sediments_1","Thursday, 12 September 2024 10:48:33","ms2000","Volume","1","1.520","Water","1.330","0.374","1.53","2.04","33.529","3.914","59.601","33.529","13.901","26.429","5.346","61.683","15.61","0.020","2000.000","1.451","3.068","13.901","44.575","75.765","13.799","73.292","12.909","24.426","23.934","19.092","26.218","27.981","7.959","10.243","2.655","0.011","1.678","0.26","0"
"5","3_1_Z3_2","soil-sediments_1","Thursday, 12 September 2024 11:06:56","ms2000","Volume","1","1.520","Water","1.330","0.343","1.68","2.88","39.224","3.574","55.19","39.224","12.056","19.473","6.766","87.764","26.94","0.020","2000.000","1.312","2.753","12.056","41.599","82.879","15.193","71.617","13.19","26.47","25.326","20.205","27.348","24.064","6.536","8.899","3.927","0.364","2.398","1.091","0"
"6","3_1_Z3_2","soil-sediments_1","Thursday, 12 September 2024 11:07:54","ms2000","Volume","1","1.520","Water","1.330","0.346","1.69","2.78","37.401","3.547","55.181","37.401","11.85","19.279","6.618","82.892","26.86","0.020","2000.000","1.303","2.726","11.850","40.613","79.727","15.311","71.93","12.759","26.698","25.562","20.399","27.51","24.021","6.458","8.813","3.666","0.281","2.236","0.918","0"
"7","3_1_Z3_2","soil-sediments_1","Thursday, 12 September 2024 11:08:52","ms2000","Volume","1","1.520","Water","1.330","0.365","1.7","2.61","34.888","3.526","55.392","34.888","11.68","19.204","6.353","75.064","26.81","0.020","2000.000","1.296","2.703","11.680","39.668","75.499","15.412","72.368","12.22","26.882","25.75","20.549","27.672","24.147","6.551","8.774","3.335","0.111","2.068","0.668","0"
"8","3_1_Z3_2 - Average","soil-sediments_1","Thursday, 12 September 2024 11:06:56","ms2000","Volume","1","1.520","Water","1.330","0.352","1.69","2.76","37.171","3.549","55.254","37.171","11.861","19.318","6.571","82.093","26.87","0.020","2000.000","1.304","2.727","11.861","40.613","79.235","15.306","71.971","12.723","26.683","25.546","20.384","27.51","24.077","6.515","8.829","3.642","0.253","2.234","0.892","0"
"9","3_1_Z3_3","soil-sediments_1","Thursday, 12 September 2024 11:25:32","ms2000","Volume","1","1.520","Water","1.330","0.333","1.42","2.62","46.417","4.236","59.962","46.417","15.503","23.109","6.305","95.862","19.79","0.020","2000.000","1.590","3.494","15.503","52.686","99.336","12.493","70.896","16.611","22.129","22.42","17.664","26.316","26.916","8.822","11.486","4.695","0.43","2.948","1.36","0"
"10","3_1_Z3_3","soil-sediments_1","Thursday, 12 September 2024 11:26:30","ms2000","Volume","1","1.520","Water","1.330","0.354","1.45","2.24","38.490","4.132","60.692","38.49","14.727","22.618","5.787","74.604","19.71","0.020","2000.000","1.550","3.376","14.727","48.593","86.779","12.822","72.23","14.948","22.723","23.028","18.147","26.933","27.15","8.818","11.49","3.361","0.097","2.083","0.622","0"
"11","3_1_Z3_3","soil-sediments_1","Thursday, 12 September 2024 11:27:29","ms2000","Volume","1","1.520","Water","1.330","0.359","1.47","2.28","38.355","4.090","60.37","38.355","14.437","22.600","5.674","77.513","19.66","0.020","2000.000","1.534","3.329","14.437","47.079","83.457","12.962","72.715","14.323","22.971","23.27","18.342","27.159","27.213","8.532","10.925","3.261","0.137","2.002","0.791","0"
"12","3_1_Z3_3 - Average","soil-sediments_1","Thursday, 12 September 2024 11:25:32","ms2000","Volume","1","1.520","Water","1.330","0.348","1.45","2.39","41.088","4.152","60.342","41.088","14.878","22.767","5.904","83.279","19.72","0.020","2000.000","1.558","3.398","14.878","49.366","89.394","12.759","71.947","15.294","22.608","22.906","18.051","26.803","27.093","8.724","11.3","3.771","0.223","2.344","0.924","0"
"13","6_1_Z2_1","soil-sediments_1","Thursday, 12 September 2024 11:41:05","ms2000","Volume","1","1.520","Water","1.330","0.297","0.998","2.21","126.777","6.009","50.234","126.777","51.321","247.286","6.981","169.614","18.16","0.020","2000.000","2.162","5.140","51.321","235.274","360.431","9.255","44.05","46.695","16.835","16.592","13.409","14.91","15.731","12.558","22.776","21.906","2.012","14.132","4.21","0.172"
"14","6_1_Z2_1","soil-sediments_1","Thursday, 12 September 2024 11:42:04","ms2000","Volume","1","1.520","Water","1.330","0.260","1.04","2.3","117.591","5.787","50.662","117.591","46.003","246.707","7.503","154.326","18.08","0.020","2000.000","2.077","4.839","46.003","222.807","347.220","9.629","45.409","44.962","17.516","17.25","13.947","15.43","16.033","12.612","22.502","21.224","1.236","13.664","3.675","0"
"15","6_1_Z2_1","soil-sediments_1","Thursday, 12 September 2024 11:43:02","ms2000","Volume","1","1.520","Water","1.330","0.306","1.01","2.26","127.614","5.952","48.395","127.614","50.757","279.717","7.313","162.036","18.06","0.020","2000.000","2.137","5.043","50.757","250.122","373.341","9.364","43.995","46.641","17.044","16.8","13.581","14.999","15.415","11.64","21.2","24.053","1.388","15.757","4.255","0"
"16","6_1_Z2_1 - Average","soil-sediments_1","Thursday, 12 September 2024 11:41:05","ms2000","Volume","1","1.520","Water","1.330","0.288","1.01","2.26","123.995","5.915","49.764","123.995","49.296","258.694","7.275","162.177","18.10","0.020","2000.000","2.125","5.004","49.296","236.186","360.736","9.416","44.485","46.099","17.132","16.88","13.646","15.113","15.726","12.27","22.159","22.399","1.541","14.518","4.043","0.06"
"17","6_1_Z2_2","soil-sediments_1","Thursday, 12 September 2024 11:51:37","ms2000","Volume","1","1.520","Water","1.330","0.344","1.27","4.65","111.242","4.720","44.634","111.242","22.473","308.686","16.306","166.803","19.34","0.020","2000.000","1.686","3.587","22.473","226.169","368.136","11.956","51.939","36.105","21.687","21.225","17.163","19.126","15.651","7.583","13.921","20.451","1.733","13.541","4.52","0"
"18","6_1_Z2_2","soil-sediments_1","Thursday, 12 September 2024 11:52:36","ms2000","Volume","1","1.520","Water","1.330","0.353","1.27","4.75","113.497","4.716","44.472","113.497","22.465","312.846","16.667","171.242","19.29","0.020","2000.000","1.684","3.581","22.465","228.277","376.109","11.969","51.697","36.334","21.714","21.242","17.182","19.105","15.409","7.617","14.017","20.296","2.02","13.338","4.94","0"
"19","6_1_Z2_2","soil-sediments_1","Thursday, 12 September 2024 11:53:34","ms2000","Volume","1","1.520","Water","1.330","0.370","1.28","4.79","111.585","4.676","43.972","111.585","21.886","322.145","16.972","166.434","19.25","0.020","2000.000","1.670","3.540","21.886","230.957","373.128","12.08","51.955","35.965","21.908","21.432","17.335","19.229","15.391","7.38","13.449","20.925","1.591","13.954","4.52","0"
"20","6_1_Z2_2 - Average","soil-sediments_1","Thursday, 12 September 2024 11:51:37","ms2000","Volume","1","1.520","Water","1.330","0.356","1.28","4.73","112.108","4.704","44.359","112.108","22.273","314.654","16.646","168.177","19.29","0.020","2000.000","1.680","3.569","22.273","228.461","372.430","12.002","51.864","36.135","21.77","21.3","17.227","19.153","15.484","7.527","13.796","20.556","1.783","13.611","4.66","0"
"21","6_1_Z2_3","soil-sediments_1","Thursday, 12 September 2024 12:00:30","ms2000","Volume","1","1.520","Water","1.330","0.365","1.06","2.75","126.877","5.674","47.026","126.877","42.066","322.047","9.186","167.023","17.76","0.020","2000.000","2.038","4.689","42.066","257.926","388.472","9.814","46.218","43.968","17.882","17.678","14.282","16.026","15.909","10.576","18.486","24.015","1.466","16.025","4.698","0"
"22","6_1_Z2_3","soil-sediments_1","Thursday, 12 September 2024 12:01:28","ms2000","Volume","1","1.520","Water","1.330","0.673","1.09","2.8","118.400","5.515","47.37","118.4","38.61","324.371","9.467","154.717","17.68","0.020","2000.000","1.978","4.489","38.610","245.111","367.479","10.112","47.126","42.762","18.425","18.193","14.705","16.412","16.009","10.549","18.436","23.867","0.458","16.18","3.364","0"
"23","6_1_Z2_3","soil-sediments_1","Thursday, 12 September 2024 12:02:27","ms2000","Volume","1","1.520","Water","1.330","0.339","1.07","2.89","128.203","5.590","45.94","128.203","40.719","319.110","9.558","168.85","17.65","0.020","2000.000","2.003","4.568","40.719","262.962","391.194","9.984","46.261","43.755","18.202","17.994","14.544","16.178","15.539","9.916","17.673","24.507","1.575","16.421","4.794","0"
"24","6_1_Z2_3 - Average","soil-sediments_1","Thursday, 12 September 2024 12:00:30","ms2000","Volume","1","1.520","Water","1.330","0.459","1.07","2.82","124.493","5.592","46.779","124.493","40.442","321.728","9.4","163.707","17.69","0.020","2000.000","2.006","4.581","40.442","255.325","382.145","9.97","46.535","43.495","18.169","17.955","14.51","16.205","15.819","10.347","18.199","24.118","1.178","16.208","4.286","0"
"25","1_1_Z1_1","soil-sediments_1","Thursday, 12 September 2024 12:10:15","ms2000","Volume","1","1.520","Water","1.330","0.324","1.39","3.43","74.134","4.315","53.528","74.134","19.762","19.638","11.86","116.711","18.11","0.020","2000.000","1.503","3.342","19.762","126.852","235.876","13.217","56.407","30.376","22.638","20.607","16.595","20.409","19.404","10.148","17.727","12.376","0.273","7.745","1.355","0"
